sentence,label,idx
"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ",0,61
"the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom . ",0,596
"an artful , intelligent film that stays within the confines of a well-established genre . ",1,206
"an overemphatic , would-be wacky , ultimately tedious sex farce . ",0,392
the film 's tone and pacing are off almost from the get-go . ,0,572
director uwe boll and the actors provide scant reason to care in this crude '70s throwback . ,0,587
yakusho and shimizu ... create engaging characterizations in imamura 's lively and enjoyable cultural mix . ,1,439
there has always been something likable about the marquis de sade . ,1,367
"complete lack of originality , cleverness or even visible effort ",0,315
rarely has so much money delivered so little entertainment . ,0,256
"the continued good chemistry between carmen and juni is what keeps this slightly disappointing sequel going , with enough amusing banter -- blessedly curse-free -- to keep both kids and parents entertained . ",1,418
"miller is playing so free with emotions , and the fact that children are hostages to fortune , that he makes the audience hostage to his swaggering affectation of seriousness . ",1,850
"a swashbuckling tale of love , betrayal , revenge and above all , faith . ",1,352
it 's a bit disappointing that it only manages to be decent instead of dead brilliant . ,0,526
"a breezy romantic comedy that has the punch of a good sitcom , while offering exceptionally well-detailed characters . ",1,430
the film tries too hard to be funny and tries too hard to be hip . ,0,251
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",1,30
"drops you into a dizzying , volatile , pressure-cooker of a situation that quickly snowballs out of control , while focusing on the what much more than the why . ",1,673
